username	ideo	id	followers_count	rank
msn_money	-0.5054570127	40533912	120067	102
jonathanalter	-0.03262963146	21844854	116144	103
danbalz	-0.1769662544	59676104	114795	104
davidfolkenflik	-0.7357244367	11621822	112865	105
shearm	-0.09015178373	14552725	111922	106
lpolgreen	-0.3441107682	17152685	111560	107
rickklein	-0.1800540031	18172905	109431	108
jahimes	-0.9674385498	31611298	109083	109
sallykohn	-0.0262067908	18978610	108731	110
mmurraypolitics	-0.09641348555	92079350	104855	111
politicsnation	-0.6946293751	364423298	101856	112
jessicalessin	-0.8197339398	8962882	98926	113
abcnewslive	-0.2871800761	384438102	98754	114
acarvin	-0.8798806585	778057	98731	115
kristina_wong	-0.7682335054	18482836	96777	116
jonhuntsman	-0.08802670361	294728278	95309	117
harrymccracken	-0.6444269229	817268	91805	118
charlie_savage	-0.7432996313	16172747	91193	119
revkin	-0.3576355752	11178672	90765	120
saramurray	-0.2033695839	18637396	90710	121
thomaskaplan	-0.1784572662	31053563	90468	122
adamliptak	-0.5436968694	29607664	88606	123
pedropierluisi	-0.8769853643	34972633	88470	124
onthemedia	-0.03421711159	16469809	87159	125
davidmwessel	-0.04691328431	36047098	86020	126
nytnational	-0.9844202033	1767741	84356	127
michele_norris	-0.3569910059	171171584	82291	128
csmonitor	-0.4062367631	14857525	80406	129
zackwhittaker	-0.4578964711	15752235	78546	130
davidnakamura	-0.4479156327	23621827	74123	131
kerrynbc	-0.6937330889	209640562	73900	132
mjgerson	-0.8625199818	21394764	73182	133
bobwoodruff	-0.3518669609	27090222	72725	134
cjchivers	-0.4217564043	189180763	71274	135
lizszabo	-0.5390682913	48110818	70359	136
davisusan	-0.1072348011	151444950	69844	137
richardwolffedc	-0.9221157466	56700964	69549	138
tomgara	-0.706424586	5845492	67972	139
sheeraf	-0.1537283377	20052487	67248	140
wanderlust13	-0.2437706223	20414967	66398	141
greenhousenyt	-0.7293140332	268476335	66005	142
marquardta	-0.1039306579	27938809	65031	143
markleibovich	-0.09265166785	147649517	64852	144
nickschifrin	-0.4089440757	58708507	64629	145
limlouisa	-0.5443461276	47936893	64087	146
jwpetersnyt	-0.6934461479	163598915	62887	147
mikeemanuelfox	-0.5885221546	129879105	61011	148
dabeard	-0.3625570498	28279637	60792	149
rebeccajarvis	-0.07541101914	152341106	60774	150
mikedebonis	-0.4280199887	16753660	60618	151
emilyrauhala	-0.370077772	45511355	60557	152
mateagold	-0.335883852	14677751	60207	153
dongonyea	-0.3227096417	61285110	59789	154
fieldproducer	-0.5101576584	23055689	59026	155
mattgutmanabc	-0.4281940601	64744352	56477	156
jujuchangabc	-0.4236750486	18950931	55913	157
michaelluo	-0.599611457	19086456	55883	158
cynthiamcfadden	-0.4233744066	20166674	55229	159
jim_jordan	0.8784993458	18166778	3597635	1
newtgingrich	0.9652160868	20713061	2354177	2
jdickerson	0.2387244241	4119741	1927919	3
kathielgifford	0.007043256503	80676273	1364222	4
speakerboehner	0.8771901456	7713202	1292190	5
ronpaul	0.3197612676	287413569	867188	6
chuckgrassley	0.2834430854	10615232	825231	7
sarahaines	0.1820274393	15383116	555530	8
lesterholtnbc	0.06395212352	25300308	544501	9
senronjohnson	0.8351517122	233737858	470008	10
johncornyn	0.9443726238	13218102	361562	11
senbobcorker	0.3641888544	73303753	359504	12
zekejmiller	0.0545206938	21316253	264680	13
govgaryjohnson	0.2140038319	95713333	263588	14
ditzkoff	5.64e-4	81482674	239576	15
sentoomey	0.7495819105	221162525	191645	16
senatorburr	0.2708311959	21157904	168690	17
senjohnbarrasso	0.551286657	202206694	160666	18
senrubiopress	0.9514782753	229966028	151358	19
senjohnthune	0.829087242	296361085	137736	20
repronpaul	0.4870668074	76966145	135849	21
roslehtinen	0.4717274259	14275291	131094	22
royblunt	0.5900606583	21269970	128784	23
senalexander	0.5711306245	76649729	127594	24
nrsc	0.9770603829	5693842	127329	25
jerrymoran	0.1506453886	18632666	119205	26
johnboozman	0.5108190519	5558312	106784	27
